year,game_sno,date,opponent,home_away,final_visiting,final_home,lin_li_played,lin_li_role,team_win,team_r,team_pa,team_ab,team_h,team_1b,team_2b,team_3b,team_hr,team_bb,team_ibb,team_hbp,team_sf,team_sac,team_so,team_gidp,team_sb,team_cs
2021,102,2021-05-12,富邦悍將,home,1,4,True,先發,True,5,37,34,9,6,3,0,0,1,0,1,0,1,4,0,0,0
2021,104,2021-05-13,富邦悍將,home,2,3,True,先發,True,7,35,34,10,7,3,0,0,1,0,0,0,0,1,0,0,1
2021,105,2021-05-14,富邦悍將,home,4,2,True,先發,False,2,35,30,6,4,1,1,0,3,0,0,1,1,14,0,1,1
2021,109,2021-05-16,統一7-ELEVEn獅,away,5,0,True,先發,True,5,38,34,8,5,2,0,1,3,0,0,0,1,5,0,1,0
2021,112,2021-05-18,統一7-ELEVEn獅,away,5,9,True,先發,False,1,33,28,3,1,1,1,0,5,0,0,0,0,5,2,0,0
2021,114,2021-05-20,富邦悍將,away,3,5,True,先發,False,3,41,38,13,12,1,0,0,2,0,0,0,1,5,1,2,0
2021,117,2021-05-21,味全龍,home,8,3,True,先發,False,4,33,29,8,4,4,0,0,4,0,0,0,0,6,1,2,1
2021,119,2021-05-22,味全龍,home,5,13,False,,True,5,37,31,9,8,1,0,0,2,0,2,1,0,4,0,0,1
2021,121,2021-05-23,味全龍,home,4,5,False,,True,3,32,29,7,4,2,1,0,1,0,0,1,1,3,0,2,1
2021,123,2021-05-25,統一7-ELEVEn獅,home,3,2,True,非先發,False,1,34,32,9,6,3,0,0,2,0,0,0,0,1,3,1,0
2021,127,2021-05-28,中信兄弟,away,5,6,True,先發,False,5,34,32,8,6,1,0,1,1,0,1,0,0,4,1,1,0
2021,129,2021-05-29,中信兄弟,away,12,7,True,先發,True,11,45,40,14,11,2,0,1,3,0,2,0,0,13,0,3,0
2021,130,2021-05-30,富邦悍將,home,3,12,True,先發,True,12,43,38,18,12,4,0,2,1,0,1,2,1,4,1,3,0
2021,133,2021-06-01,富邦悍將,home,2,4,True,先發,True,10,45,37,13,9,3,0,1,6,0,1,0,1,8,1,1,2
2021,135,2021-06-02,味全龍,away,11,8,True,先發,True,4,40,36,10,7,2,0,1,4,0,0,0,0,10,0,0,1
2021,136,2021-06-03,富邦悍將,away,12,2,True,先發,True,12,44,36,9,4,2,0,3,6,0,1,1,0,9,0,2,0
2021,137,2021-06-04,富邦悍將,away,1,16,True,先發,False,1,34,30,6,4,2,0,0,0,0,2,1,1,7,2,1,0
2021,142,2021-06-06,味全龍,away,1,1,True,先發,False,3,35,31,7,3,3,0,1,2,0,0,1,1,5,0,0,1
2021,147,2021-06-10,中信兄弟,home,7,4,True,先發,False,4,42,40,9,6,2,0,1,2,0,0,0,0,8,0,0,0
2021,148,2021-06-11,中信兄弟,home,9,4,True,先發,False,4,40,37,11,10,0,1,0,2,0,0,1,0,7,0,0,1
2021,149,2021-06-12,統一7-ELEVEn獅,home,5,6,True,先發,True,18,47,43,23,11,8,2,2,4,0,0,0,0,3,2,3,1
2021,152,2021-08-24,統一7-ELEVEn獅,home,3,1,True,先發,False,12,42,37,15,12,2,0,1,4,0,0,1,0,6,1,2,1
2021,154,2021-08-25,味全龍,home,5,2,True,先發,False,8,41,40,13,8,2,0,3,1,0,0,0,0,6,1,0,0
2021,156,2021-08-26,味全龍,home,5,1,True,先發,False,21,53,45,22,13,5,1,3,6,0,1,1,0,4,1,1,0
2021,157,2021-08-27,味全龍,home,3,8,True,先發,True,8,41,37,13,11,1,1,0,3,0,1,0,0,6,0,1,1
2021,161,2021-08-29,富邦悍將,away,7,5,True,先發,True,7,39,35,8,7,1,0,0,3,0,1,0,0,5,0,2,0
2021,163,2021-08-31,統一7-ELEVEn獅,home,9,4,True,先發,False,4,37,36,11,8,1,0,2,1,0,0,0,0,4,2,1,1
2021,165,2021-09-01,統一7-ELEVEn獅,home,12,7,True,先發,False,7,44,39,14,11,1,0,2,4,0,0,1,0,6,1,1,0
2021,167,2021-09-02,味全龍,home,2,13,True,先發,True,13,41,36,16,11,1,0,4,2,0,0,2,1,5,2,1,0
2021,171,2021-09-04,富邦悍將,home,3,4,True,先發,True,4,36,34,9,6,1,0,2,2,0,0,0,0,6,0,1,1
2021,173,2021-09-05,中信兄弟,home,7,3,True,先發,False,3,32,29,6,5,0,1,0,3,0,0,0,0,0,2,1,1
2021,178,2021-09-08,統一7-ELEVEn獅,away,7,4,True,先發,True,6,42,39,12,10,2,0,0,3,0,0,0,0,3,1,1,0
2021,180,2021-09-09,統一7-ELEVEn獅,away,3,0,True,先發,True,3,36,30,6,5,1,0,0,3,0,1,1,1,5,1,0,0
2021,181,2021-09-10,統一7-ELEVEn獅,away,7,5,True,先發,True,7,47,39,14,11,2,0,1,5,0,1,0,2,6,0,1,0
2021,183,2021-09-11,中信兄弟,away,2,5,False,,False,2,35,32,7,6,0,0,1,1,0,1,0,1,9,1,0,0
2021,188,2021-09-14,味全龍,away,5,0,True,先發,True,5,39,35,9,8,1,0,0,3,0,1,0,0,5,0,3,0
2021,191,2021-09-16,統一7-ELEVEn獅,away,5,6,True,先發,False,5,37,36,10,8,2,0,0,0,0,1,0,0,6,0,1,1
2021,194,2021-09-17,富邦悍將,home,0,1,True,先發,True,11,43,39,18,12,5,0,1,3,0,0,0,1,5,2,3,1
